Id,District Name,Neighborhood Name,Street,Weekday,Month,Day,Hour,Part of the day,injuries,dead,Victims,Vehicle Involved,Latitude,Longitude,Vehicle Type,Year
201,Tangail, kalihati_busstand, tangail_mymensingh_highway,Monday,June,25,6,Morning,31,5,36,1,24.303428,89.919332,truck,2018
202,Gaibandha, enayetpur_bazar, sadullapur_madarganj_road,Thursday,June,28,16,Afternoon,3,1,4,2,25.394297,89.452795,bus_rickshaw,2018
203,Chittagong,chakaria_upazilla, chittagang_Cox's Bazar_highway,Saturday,March,3,6,Morning,4,4,8,3,21.753111,90.077116,bus,2018
204,Dinajpur,kalai_upazilla, Jaipurhat_kalai_road,Saturday,March,3,8,Morning,0,1,1,1,25.065354,89.162825,van,2018
205,Brahmanbaria, akhaura_upazilla, comilla_sylhet_highway,Saturday,March,3,10,Morning,0,1,1,1,23.87057,91.14415,three_wheeler,2018
206,Gopalganj,sadar_upazilla, dhaka_khulna_highway,Sunday,March,4,17,Afternoon,2,1,3,2,23.000918,89.837776,truck_rickshaw,2018
207,Mymensingh, kalibari_area,,Sunday,March,4,19,Evening,0,1,1,2,24.755978,90.412416,truck_cycle,2018
208,Jamalpur, sarishabari_upazila,,Sunday,March,4,21,Night,0,1,1,1,24.447396,89.824283,rickshaw,2018
209,Kushtia,,Kushtia_khulna_highway,Tuesday,March,6,11,Morning,10,4,24,2,23.890502,89.111626,bus_rickshaw,2018
210,Mymensingh, nandail_municipality,,Tuesday,March,6,10,Morning,0,2,2,2,24.57267,90.691688,truck_rickshaw,2018
211,Mymensingh, nandail_municipality, dhaka_mymensingh_highway,Tuesday,March,6,12,Morning,2,2,4,1,24.271276,90.395235,others,2018
212,Narsingdi,,narsingdi_raipura_road,Tuesday,March,6,13,Afternoon,0,1,1,3,23.989122,90.8748,truck,2018
213,Dinajpur,,dinajpur_panchagarh_higway,Tuesday,March,6,18,Evening,0,1,1,1,26.334767,88.553326,others,2018
